material_id,collection,book,test,material_type,unit,content_source,text_requirement,audio_requirement,audio_kind,accent_policy,authenticity_label,import_status,audio_path,text_path,notes,topic_tags
C21_T3_R_P3,Cambridge IELTS 21 Academic,21,3,Reading-as-Listening,Passage 3,User-owned Cambridge IELTS Academic Reading passage,Exact passage text from legally owned source,GENERATE LICENSED GENERIC VOICE IN IELTS ACCENT PROFILE; NEVER LABEL AS OFFICIAL AUDIO,generated_reading_audio,North American English voice; natural IELTS-like delivery. Do not clone an identifiable IELTS narrator.,Reading converted to listening (generated audio),WAITING_FOR_USER_TEXT_AND_AUDIO_GENERATION,assets/cambridge_21/test_3/reading/passage_3/generated_audio.*,assets/cambridge_21/test_3/reading/passage_3/passage_text.*,Split by natural sentences. Audio is generated from Reading; it is not authentic IELTS Listening.,TO_BE_EXTRACTED_FROM_SOURCE
C21_T4_L_P1,Cambridge IELTS 21 Academic,21,4,Listening,Part 1,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_21/test_4/listening/part_1/audio.*,assets/cambridge_21/test_4/listening/part_1/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C21_T4_L_P2,Cambridge IELTS 21 Academic,21,4,Listening,Part 2,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_21/test_4/listening/part_2/audio.*,assets/cambridge_21/test_4/listening/part_2/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C21_T4_L_P3,Cambridge IELTS 21 Academic,21,4,Listening,Part 3,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_21/test_4/listening/part_3/audio.*,assets/cambridge_21/test_4/listening/part_3/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C21_T4_L_P4,Cambridge IELTS 21 Academic,21,4,Listening,Part 4,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_21/test_4/listening/part_4/audio.*,assets/cambridge_21/test_4/listening/part_4/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C21_T4_R_P1,Cambridge IELTS 21 Academic,21,4,Reading-as-Listening,Passage 1,User-owned Cambridge IELTS Academic Reading passage,Exact passage text from legally owned source,GENERATE LICENSED GENERIC VOICE IN IELTS ACCENT PROFILE; NEVER LABEL AS OFFICIAL AUDIO,generated_reading_audio,New Zealand English voice; natural IELTS-like delivery. Do not clone an identifiable IELTS narrator.,Reading converted to listening (generated audio),WAITING_FOR_USER_TEXT_AND_AUDIO_GENERATION,assets/cambridge_21/test_4/reading/passage_1/generated_audio.*,assets/cambridge_21/test_4/reading/passage_1/passage_text.*,Split by natural sentences. Audio is generated from Reading; it is not authentic IELTS Listening.,TO_BE_EXTRACTED_FROM_SOURCE
C21_T4_R_P2,Cambridge IELTS 21 Academic,21,4,Reading-as-Listening,Passage 2,User-owned Cambridge IELTS Academic Reading passage,Exact passage text from legally owned source,GENERATE LICENSED GENERIC VOICE IN IELTS ACCENT PROFILE; NEVER LABEL AS OFFICIAL AUDIO,generated_reading_audio,North American English voice; natural IELTS-like delivery. Do not clone an identifiable IELTS narrator.,Reading converted to listening (generated audio),WAITING_FOR_USER_TEXT_AND_AUDIO_GENERATION,assets/cambridge_21/test_4/reading/passage_2/generated_audio.*,assets/cambridge_21/test_4/reading/passage_2/passage_text.*,Split by natural sentences. Audio is generated from Reading; it is not authentic IELTS Listening.,TO_BE_EXTRACTED_FROM_SOURCE
C21_T4_R_P3,Cambridge IELTS 21 Academic,21,4,Reading-as-Listening,Passage 3,User-owned Cambridge IELTS Academic Reading passage,Exact passage text from legally owned source,GENERATE LICENSED GENERIC VOICE IN IELTS ACCENT PROFILE; NEVER LABEL AS OFFICIAL AUDIO,generated_reading_audio,British English voice; natural IELTS-like delivery. Do not clone an identifiable IELTS narrator.,Reading converted to listening (generated audio),WAITING_FOR_USER_TEXT_AND_AUDIO_GENERATION,assets/cambridge_21/test_4/reading/passage_3/generated_audio.*,assets/cambridge_21/test_4/reading/passage_3/passage_text.*,Split by natural sentences. Audio is generated from Reading; it is not authentic IELTS Listening.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T1_L_P1,Cambridge IELTS 20 Academic,20,1,Listening,Part 1,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_20/test_1/listening/part_1/audio.*,assets/cambridge_20/test_1/listening/part_1/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T1_L_P2,Cambridge IELTS 20 Academic,20,1,Listening,Part 2,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_20/test_1/listening/part_2/audio.*,assets/cambridge_20/test_1/listening/part_2/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T1_L_P3,Cambridge IELTS 20 Academic,20,1,Listening,Part 3,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_20/test_1/listening/part_3/audio.*,assets/cambridge_20/test_1/listening/part_3/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T1_L_P4,Cambridge IELTS 20 Academic,20,1,Listening,Part 4,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_20/test_1/listening/part_4/audio.*,assets/cambridge_20/test_1/listening/part_4/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T1_R_P1,Cambridge IELTS 20 Academic,20,1,Reading-as-Listening,Passage 1,User-owned Cambridge IELTS Academic Reading passage,Exact passage text from legally owned source,GENERATE LICENSED GENERIC VOICE IN IELTS ACCENT PROFILE; NEVER LABEL AS OFFICIAL AUDIO,generated_reading_audio,New Zealand English voice; natural IELTS-like delivery. Do not clone an identifiable IELTS narrator.,Reading converted to listening (generated audio),WAITING_FOR_USER_TEXT_AND_AUDIO_GENERATION,assets/cambridge_20/test_1/reading/passage_1/generated_audio.*,assets/cambridge_20/test_1/reading/passage_1/passage_text.*,Split by natural sentences. Audio is generated from Reading; it is not authentic IELTS Listening.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T1_R_P2,Cambridge IELTS 20 Academic,20,1,Reading-as-Listening,Passage 2,User-owned Cambridge IELTS Academic Reading passage,Exact passage text from legally owned source,GENERATE LICENSED GENERIC VOICE IN IELTS ACCENT PROFILE; NEVER LABEL AS OFFICIAL AUDIO,generated_reading_audio,North American English voice; natural IELTS-like delivery. Do not clone an identifiable IELTS narrator.,Reading converted to listening (generated audio),WAITING_FOR_USER_TEXT_AND_AUDIO_GENERATION,assets/cambridge_20/test_1/reading/passage_2/generated_audio.*,assets/cambridge_20/test_1/reading/passage_2/passage_text.*,Split by natural sentences. Audio is generated from Reading; it is not authentic IELTS Listening.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T1_R_P3,Cambridge IELTS 20 Academic,20,1,Reading-as-Listening,Passage 3,User-owned Cambridge IELTS Academic Reading passage,Exact passage text from legally owned source,GENERATE LICENSED GENERIC VOICE IN IELTS ACCENT PROFILE; NEVER LABEL AS OFFICIAL AUDIO,generated_reading_audio,British English voice; natural IELTS-like delivery. Do not clone an identifiable IELTS narrator.,Reading converted to listening (generated audio),WAITING_FOR_USER_TEXT_AND_AUDIO_GENERATION,assets/cambridge_20/test_1/reading/passage_3/generated_audio.*,assets/cambridge_20/test_1/reading/passage_3/passage_text.*,Split by natural sentences. Audio is generated from Reading; it is not authentic IELTS Listening.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T2_L_P1,Cambridge IELTS 20 Academic,20,2,Listening,Part 1,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_20/test_2/listening/part_1/audio.*,assets/cambridge_20/test_2/listening/part_1/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T2_L_P2,Cambridge IELTS 20 Academic,20,2,Listening,Part 2,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_20/test_2/listening/part_2/audio.*,assets/cambridge_20/test_2/listening/part_2/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T2_L_P3,Cambridge IELTS 20 Academic,20,2,Listening,Part 3,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_20/test_2/listening/part_3/audio.*,assets/cambridge_20/test_2/listening/part_3/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T2_L_P4,Cambridge IELTS 20 Academic,20,2,Listening,Part 4,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_20/test_2/listening/part_4/audio.*,assets/cambridge_20/test_2/listening/part_4/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T2_R_P1,Cambridge IELTS 20 Academic,20,2,Reading-as-Listening,Passage 1,User-owned Cambridge IELTS Academic Reading passage,Exact passage text from legally owned source,GENERATE LICENSED GENERIC VOICE IN IELTS ACCENT PROFILE; NEVER LABEL AS OFFICIAL AUDIO,generated_reading_audio,North American English voice; natural IELTS-like delivery. Do not clone an identifiable IELTS narrator.,Reading converted to listening (generated audio),WAITING_FOR_USER_TEXT_AND_AUDIO_GENERATION,assets/cambridge_20/test_2/reading/passage_1/generated_audio.*,assets/cambridge_20/test_2/reading/passage_1/passage_text.*,Split by natural sentences. Audio is generated from Reading; it is not authentic IELTS Listening.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T2_R_P2,Cambridge IELTS 20 Academic,20,2,Reading-as-Listening,Passage 2,User-owned Cambridge IELTS Academic Reading passage,Exact passage text from legally owned source,GENERATE LICENSED GENERIC VOICE IN IELTS ACCENT PROFILE; NEVER LABEL AS OFFICIAL AUDIO,generated_reading_audio,British English voice; natural IELTS-like delivery. Do not clone an identifiable IELTS narrator.,Reading converted to listening (generated audio),WAITING_FOR_USER_TEXT_AND_AUDIO_GENERATION,assets/cambridge_20/test_2/reading/passage_2/generated_audio.*,assets/cambridge_20/test_2/reading/passage_2/passage_text.*,Split by natural sentences. Audio is generated from Reading; it is not authentic IELTS Listening.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T2_R_P3,Cambridge IELTS 20 Academic,20,2,Reading-as-Listening,Passage 3,User-owned Cambridge IELTS Academic Reading passage,Exact passage text from legally owned source,GENERATE LICENSED GENERIC VOICE IN IELTS ACCENT PROFILE; NEVER LABEL AS OFFICIAL AUDIO,generated_reading_audio,Australian English voice; natural IELTS-like delivery. Do not clone an identifiable IELTS narrator.,Reading converted to listening (generated audio),WAITING_FOR_USER_TEXT_AND_AUDIO_GENERATION,assets/cambridge_20/test_2/reading/passage_3/generated_audio.*,assets/cambridge_20/test_2/reading/passage_3/passage_text.*,Split by natural sentences. Audio is generated from Reading; it is not authentic IELTS Listening.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T3_L_P1,Cambridge IELTS 20 Academic,20,3,Listening,Part 1,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_20/test_3/listening/part_1/audio.*,assets/cambridge_20/test_3/listening/part_1/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T3_L_P2,Cambridge IELTS 20 Academic,20,3,Listening,Part 2,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_20/test_3/listening/part_2/audio.*,assets/cambridge_20/test_3/listening/part_2/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T3_L_P3,Cambridge IELTS 20 Academic,20,3,Listening,Part 3,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_20/test_3/listening/part_3/audio.*,assets/cambridge_20/test_3/listening/part_3/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
C20_T3_L_P4,Cambridge IELTS 20 Academic,20,3,Listening,Part 4,User-owned authentic Cambridge IELTS material,Official transcript/audioscript from legally owned source,ORIGINAL OFFICIAL/AUTHENTIC AUDIO ONLY,original,Preserve source recording; do not synthesize or replace voice,Authentic Listening,WAITING_FOR_USER_ASSET,assets/cambridge_20/test_3/listening/part_4/audio.*,assets/cambridge_20/test_3/listening/part_4/transcript.*,Keep full Part audio; align sentence timestamps start_ms/end_ms.,TO_BE_EXTRACTED_FROM_SOURCE
